CUI,freq
C1413248,25
C3273706,25
C0741614,4
C0441998,2
C0205386,7
C1547177,4
C0019932,7
C4521914,5
C0015815,14
C0243148,36
C1550141,36
C1882979,36
C2587213,39
C3274648,36
C4553389,41
C0078988,26
C0242485,20
C0009117,1
C0085387,3
C1555721,3
C1706204,3
C2599594,79
C0027996,9
C1142562,9
C0017710,35
C3540777,13
C3540778,13
C0021081,36
C0003209,4
C0021966,166
C0221138,166
C0850293,1
C0298130,1
C0031507,1
C0202454,1
C1172734,2
C0439148,32
C0036043,12
C1456447,8
C0877248,17
C1705413,7
C3853572,8
C3887809,8
C3890893,8
C1705187,12
C0741920,1
C3536840,16
C3538936,1
C0449450,39
C0332185,9
C0043251,1
C1510467,1
C3263723,1
C3714660,1
C4049136,1
C0699129,1
C1706365,7
C0030771,7
C1518922,8
C1542834,7
C0205355,8
C1609165,10
C1269765,4
C1552861,2
C0027552,5
C0686904,5
C0085862,1
C1290940,1
C1299583,1
C1319312,14
C0441889,88
C1565489,25
C0456079,73
C1547707,73
C2946261,73
C0745413,3
C2000145,4
C1441604,11
C2347090,18
C0020223,1
C0354604,8
C4288581,2
C0000768,4
C0000769,2
C0009924,8
C0022658,17
C1979874,8
C0031809,15
C0449432,16
C1705248,13
C0205485,8
C1509143,8
C0001792,20
C1999167,20
C0028873,14
C0016169,4
C0450429,18
C1515974,30
C4284930,18
C4284931,18
C0282402,18
C0213771,45
C0030827,41
C0072225,44
C1266240,41
C0574032,16
C1827465,14
C0521362,5
C0024109,16
C2707265,14
C2709248,14
C4522268,14
C0219433,13
C0017887,12
C0599973,2
C0028074,10
C1424662,12
C3812270,12
C0439064,12
C0012155,21
C0085542,22
C0012159,21
C1519433,21
C2983588,21
C3668949,21
C2974521,15
C4684714,4
C0456962,7
C2985769,7
C0017245,2
C1420648,16
C3714751,15
C1708485,14
C0455271,16
C1300563,50
C1318330,16
C4054490,1
C0669479,30
C0754710,28
C0441848,66
C1550147,12
C2709094,12
C3539075,12
C3539076,12
C2317524,2
C3258293,3
C0001617,63
C3536709,39
C0205470,13
C0003374,5
C1540071,1
C0439278,4
C0027430,8
C0679250,3
C0242656,7
C0205199,32
C1547335,32
C0449258,7
C3542417,3
C1274040,62
C1335499,2
C1947900,2
C4552808,2
C0011991,2
C1963091,2
C3641756,2
C4084784,2
C4084802,2
C4085317,2
C0041980,7
C0039771,2
C0019409,17
C0242960,17
C0019576,2
C0205409,5
C1548221,5
C0444598,7
C3539687,18
C1552826,7
C3540512,6
C3889436,6
C0700307,4
C1514463,25
C0231491,30
C0279936,4
C0581374,3
C0038766,21
C4704833,2
C3536898,14
C0231221,2
C1547326,1
C0231174,28
C0680095,28
C0849164,3
C0033095,14
C0460139,14
C1306345,14
C4284008,14
C0451071,1
C0242492,17
C0301630,20
C1293152,20
C4551656,20
C0520511,14
C1704711,14
C4483112,4
C0439183,3
C0006448,5
C0451022,4
C3714938,4
C3889415,4
C0812399,32
C0683862,2
C0728938,8
C0454788,20
C0002424,12
C0442592,12
C1077578,20
C1550516,8
C0812270,15
C0011816,77
C3250443,77
C1705694,15
C2939420,16
C0454664,7
C4521536,22
C0021027,11
C0305052,10
C0360506,10
C1121991,9
C0126174,23
C3537307,4
C3540711,4
C0679403,3
C3272847,2
C1275835,7
C1320283,3
C0435630,1
C4553927,1
C0005847,60
C1558950,24
C1801960,24
C0456081,76
C0948922,1
